,city,lng,lat,max temp,humidity,cloudiness,wind speed,country,date
0,Atuona,-139.0333,-9.8,77.36,67,14,17.63,PF,1627519172
1,New Norfolk,147.0587,-42.7826,50.72,61,97,8.5,AU,1627519173
2,St. George's,-61.7485,12.0564,80.28,83,40,20.71,GD,1627519173
3,Den Helder,4.7593,52.9599,61.99,81,90,19.57,NL,1627519173
4,Lázaro Cárdenas,-102.2,17.9583,82.4,75,91,3.91,MX,1627519174
5,Cape Town,18.4232,-33.9258,55.11,76,75,5.01,ZA,1627519163
6,Ibrā’,58.5334,22.6906,86.79,45,37,4.76,OM,1627519174
7,Saskylakh,114.0833,71.9167,69.53,38,100,15.97,RU,1627519174
8,Dvinskoy,45.1175,62.1535,52.54,75,6,1.43,RU,1627519175
9,Cidreira,-50.2056,-30.1811,46.15,70,88,22.26,BR,1627519175
10,Yellowknife,-114.3525,62.456,68.29,63,40,9.22,CA,1627519075
11,Ibb,44.1833,13.9667,66.45,86,98,4.88,YE,1627519176
12,Rikitea,-134.9692,-23.1203,73.81,79,96,14.45,PF,1627518909
13,Ilulissat,-51.1,69.2167,50.02,66,8,3.44,GL,1627519176
14,Busselton,115.3333,-33.65,59.09,76,40,25.5,AU,1627519176
15,Upernavik,-56.1549,72.7868,46.63,82,100,10.54,GL,1627519177
16,San Patricio,-97.5169,28.017,87.78,63,4,12.24,US,1627519177
17,Taoudenni,-3.9836,22.6783,99.43,20,1,9.48,ML,1627519177
18,Lyubinskiy,72.6925,55.1542,51.48,84,4,6.67,RU,1627519178
19,Puerto Peñasco,-113.5333,31.3167,90.91,71,0,5.99,MX,1627519178
20,Hithadhoo,73.0833,-0.6,79.2,76,100,3.22,MV,1627519179
21,Albany,-73.9662,42.6001,69.75,79,25,2.26,US,1627518913
22,Epe,3.9834,6.5841,74.39,89,100,4.41,NG,1627519179
23,Vaini,-175.2,-21.2,75.36,78,20,6.91,TO,1627519179
24,Punta Arenas,-70.9167,-53.15,46.51,76,0,12.66,CL,1627518993
25,Dhidhdhoo,73.1,6.8833,82.47,75,99,14.12,MV,1627519180
26,Lebu,-73.65,-37.6167,49.24,79,0,8.01,CL,1627519180
27,Faanui,-151.75,-16.4833,78.19,69,42,2.95,PF,1627519181
28,Hobart,147.3294,-42.8794,51.06,67,20,5.99,AU,1627519076
29,Puerto Ayora,-90.3518,-0.7393,71.46,89,67,7.09,EC,1627519181
30,Thompson,-97.8558,55.7435,62.76,51,75,6.91,CA,1627519182
31,Carballo,-8.691,43.213,63.01,90,18,5.21,ES,1627519182
32,Virār,72.8,19.4667,82.49,84,100,19.08,IN,1627519182
33,Swan Hill,143.5544,-35.3378,55.38,54,2,11.03,AU,1627519183
34,Ushuaia,-68.3,-54.8,42.46,81,40,8.05,AR,1627518931
35,Kapaa,-159.319,22.0752,86.32,69,40,5.01,US,1627519115
36,Tegul'det,88.1667,57.3064,58.68,72,100,2.44,RU,1627519184
37,Bria,21.9863,6.5423,68.49,97,100,2.68,CF,1627519184
38,Tual,132.75,-5.6667,80.96,82,99,18.03,ID,1627519185
39,Gold Coast,153.4333,-28.0,76.19,65,67,1.01,AU,1627519185
40,Mindelo,-24.9804,16.8901,75.02,74,75,11.16,CV,1627519185
41,Butaritari,172.7902,3.0707,82.85,71,15,10.18,KI,1627519186
